16:32:37.799 [INFO] cli_log::init: Starting git-ai v3.0.0 with log level DEBUG
16:33:20.459 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.468 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.476 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.484 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.492 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.509 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.517 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.526 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.543 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.550 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.559 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.576 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:20.828 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:21.079 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:21.332 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:21.590 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:21.847 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:22.099 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:22.351 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:22.604 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:22.857 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:23.110 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:23.366 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:23.620 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:23.877 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:24.129 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:24.385 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:24.639 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:24.895 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:25.150 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:25.402 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:25.655 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:25.906 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:26.159 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:26.412 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:26.664 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:26.917 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:27.172 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:27.429 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:27.683 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:27.940 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:28.194 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:28.447 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:28.702 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:28.957 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:29.213 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:29.468 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:29.720 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:29.972 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:30.224 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:30.477 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:30.730 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:30.986 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:31.240 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:31.496 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:31.750 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:32.003 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:32.255 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:32.512 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:32.767 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:33.029 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:33.285 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:33.544 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:33.802 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:34.063 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:34.322 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:34.580 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:34.838 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:35.098 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:35.358 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:35.616 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:35.876 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:36.134 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:36.393 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:36.658 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:36.918 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:37.177 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:37.437 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:37.697 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:37.957 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:38.217 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:38.475 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:38.733 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:38.992 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:39.253 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:39.511 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:39.772 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:40.031 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:40.288 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:40.548 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:40.803 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.058 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.314 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.569 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.616 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.625 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.642 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.650 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.666 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.674 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.682 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.691 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.708 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.716 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.725 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.733 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.742 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.758 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.775 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.784 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
16:33:41.793 [DEBUG] git_ai::ui::modals::github_download: Thư mục tạm GitHub hiện tại: "/var/folders/1y/k12ctwmn14123t_chxhpx0qr0000gn/T/git_ai_download_eZaw5b"
